game_name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,fk_publisher_id,fk_developer_id
Call of Duty: Ghosts,PS3,2013,Shooter,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,M,5,8
Call of Duty 4: Modern Warfare,X360,2007,Shooter,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,M,5,8
Donkey Kong Country,SNES,1994,Platform,4.36,1.71,3.0,0.23,9.3,,,,,,1,2
Minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,9.18,,,,,,2,2
Animal Crossing: New Leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,E,1,1
Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E,1,17
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,M,7,18
Super Mario Kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,8.76,,,,,,1,2
FIFA 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,E,8,19
Halo 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,M,2,20
Wii Party,Wii,2010,Misc,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,E,1,21
Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,E,1,22
FIFA Soccer 13,PS3,2012,Action,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,E,8,23
GoldenEye 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,8.09,,,,,,1,2
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,8.07,,,,,,1,2
Final Fantasy X,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,T,4,15
The Sims 3,PC,2009,Simulation,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,T,8,24
Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57,3.86,0.66,0.91,7.99,,,,,,9,2
Star Wars Battlefront (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,7.98,,,,,,8,2
Final Fantasy VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,T,10,15
Pac-Man,2600,1982,Puzzle,7.28,0.45,0.0,0.08,7.81,,,,,,11,2
Pokémon Platinum Version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,E,1,25
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,M,3,26
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,M,5,27
The Legend of Zelda: Ocarina of Time,N64,1998,Action,4.1,1.89,1.45,0.16,7.6,,,,,,1,2
FIFA 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,E,8,28
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78,2.17,1.31,0.31,7.58,,,,,,4,2
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,7.55,,,,,,1,2
Super Mario Galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,E,1,29
Super Mario Bros. 2,NES,1988,Platform,5.39,1.18,0.7,0.19,7.46,,,,,,1,2
Call of Duty: Black Ops 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,7.39,,,,,,5,2
Call of Duty: World at War,X360,2008,Shooter,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,M,5,7
Battlefield 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,M,8,30
Need for Speed Underground,PS2,2003,Racing,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,E,8,31
Just Dance,Wii,2009,Misc,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+,6,32
Battlefield 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,M,8,30
Fallout 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,M,7,18
Tekken 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,T,4,33
The Legend of Zelda: Twilight Princess,Wii,2006,Action,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,T,1,1
Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,7.14,,,,,,1,2
Crash Bandicoot 3: Warped,PS,1998,Platform,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,E,4,34
Mario Kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,E,1,1
Super Smash Bros. Melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,T,1,35
Mario Kart: Double Dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,6.95,,,,,,1,2
Need for Speed Underground 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E,8,36
Medal of Honor: Frontline,PS2,2002,Shooter,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,T,8,37
Crash Bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,6.82,,,,,,4,2
Just Dance 4,Wii,2012,Misc,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,E10+,6,13
Gears of War 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,M,2,38
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,T,4,34
Zumba Fitness,Wii,2010,Sports,3.45,2.59,0.0,0.66,6.71,,,,,E,12,39
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,M,5,8
Uncharted 2: Among Thieves,PS3,2009,Action,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,T,4,34
FIFA 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,6.65,,,,,,8,2
Big Brain Academy,DS,2005,Misc,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,E,1,1
The Legend of Zelda,NES,1986,Action,3.74,0.93,1.69,0.14,6.51,,,,,,1,2
Red Dead Redemption,PS3,2010,Action,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,M,3,40
FIFA 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,E,8,36
Assassin's Creed III,PS3,2012,Action,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,M,6,13
Donkey Kong Country Returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,E,1,41
Halo: Combat Evolved,XB,2001,Shooter,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,M,2,20
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,M,7,18
Pokémon Emerald Version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,E,1,25
Kingdom Hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,E,4,15
Pokémon Crystal Version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,6.39,,,,,,1,2
Halo 3: ODST,X360,2009,Shooter,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,M,2,12
Red Dead Redemption,X360,2010,Action,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,M,3,40
Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,E,1,1
Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,6.3,,,,,,13,2
World of Warcraft,PC,2004,Role-Playing,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,T,5,42
Driver,PS,1999,Action,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,T,14,43
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,M,2,38
Kinect Sports,X360,2010,Sports,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+,2,44
Gears of War,X360,2006,Shooter,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,M,2,38
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,E,8,19
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,M,15,45
Sonic the Hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,6.03,,,,,,9,2
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,M,15,45
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,M,15,46
Final Fantasy XII,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,T,16,47
The Last of Us,PS3,2013,Action,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,M,17,34
LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,E,4,48
Resident Evil 2,PS,1998,Action,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,M,18,49
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,E10+,1,50
Tekken 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T,4,33
Destiny,PS4,2014,Shooter,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,T,5,12
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+,19,51
Cooking Mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,E,12,52
Tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,5.58,,,,,,1,2
Super Smash Bros.,N64,1999,Fighting,2.95,0.6,1.97,0.04,5.55,,,,,,1,2
Assassin's Creed II,PS3,2009,Action,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,M,6,53
Assassin's Creed,X360,2007,Adventure,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,M,6,53
Forza Motorsport 3,X360,2009,Racing,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,E,2,54
Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,E,1,1
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,T,13,49
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,T,20,55
Grand Theft Auto V,XOne,2014,Action,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,M,3,4
Mario Kart: Super Circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,E,1,56
Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,5.46,,,,,,1,2
Pokemon Stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,5.45,,,,,,1,2
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,E,21,51
Call of Duty: World at War,PS3,2008,Shooter,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,M,5,7
Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,T,4,34
Dr. Mario,GB,1989,Puzzle,2.18,0.96,2.0,0.2,5.34,,,,,,1,2
Final Fantasy XIII,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,T,16,47
Pokemon Pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,5.31,,,,,,1,2
Final Fantasy IX,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,T,10,15
Assassin's Creed III,X360,2012,Action,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,M,6,13
Final Fantasy X-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,T,8,15
Donkey Kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,5.27,,,,,,1,2
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,M,5,27
Minecraft,PS3,2014,Misc,2.03,2.37,0.0,0.87,5.26,,,,,,4,2
Assassin's Creed II,X360,2009,Action,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,M,6,53
Tomb Raider II,PS,1997,Action,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,T,22,57
Madden NFL 2004,PS2,,Sports,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,E,8,58
Tomodachi Life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,5.23,,,,,,1,2
New Super Mario Bros. U,WiiU,2012,Platform,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,E,1,1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,T,16,50
Super Mario Bros. 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,5.2,,,,,,1,2
Professor Layton and the Curious Village,DS,2007,Puzzle,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,E,1,50
Super Mario Land 3: Wario Land,GB,1994,Platform,2.49,0.98,1.57,0.15,5.19,,,,,,1,2
FIFA Soccer 13,X360,2012,Action,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,E,8,23
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15,,,,,,1,2
Diablo III,PC,2012,Role-Playing,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,M,5,42
Medal of Honor: Rising Sun,PS2,2003,Shooter,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,T,8,37
Kirby's Dream Land,GB,1992,Platform,2.71,0.61,1.7,0.11,5.13,,,,,,1,2
Microsoft Flight Simulator,PC,1996,Simulation,3.22,1.69,0.0,0.2,5.12,,,,,,2,2
Guitar Hero II,PS2,2006,Misc,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,T,23,59
Fable III,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,M,2,60
Mario & Sonic at the Olympic Games,DS,2008,Sports,1.63,2.45,0.44,0.57,5.09,,,,,,9,2
Resident Evil 5,PS3,2009,Action,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,M,13,49
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,E,1,1
Super Mario Bros.,GB,1999,Platform,3.4,1.3,0.15,0.22,5.07,,,,,,1,2
FIFA Soccer 11,PS3,2010,Sports,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,E,8,19
Resident Evil,PS,1996,Action,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,M,18,49
Grand Theft Auto: Vice City Stories,PSP,2006,Action,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,M,3,26
Tony Hawk's Pro Skater,PS,1999,Sports,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,T,5,61
Warzone 2100,PS,1999,Strategy,2.79,1.89,0.0,0.33,5.01,,,,,,22,2
Spyro the Dragon,PS,1998,Platform,3.36,1.36,0.07,0.21,5.0,,,,,,4,2
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,T,5,62
Link's Crossbow Training,Wii,2007,Shooter,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,T,1,1
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,4.93,,,,,,1,2
Fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,M,7,18
Uncharted: Drake's Fortune,PS3,2007,Action,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,T,4,63
Madden NFL 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,E,8,19
Diddy Kong Racing,N64,1997,Racing,2.91,0.99,0.89,0.1,4.88,,,,,,1,2
Monster Hunter Freedom 3,PSP,2010,Role-Playing,0.0,0.0,4.87,0.0,4.87,,,,,,13,2
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6,1.08,0.81,0.38,4.87,,,,,,1,2
Dr. Mario,NES,1990,Puzzle,2.62,0.6,1.52,0.1,4.85,,,,,,1,2
StarCraft II: Wings of Liberty,PC,2010,Strategy,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,T,5,42
Assassin's Creed,PS3,2007,Adventure,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,M,6,53
God of War III,PS3,2010,Action,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,M,4,64
Crash Team Racing,PS,1999,Racing,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,E,4,34
LEGO Star Wars: The Complete Saga,DS,2007,Action,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,E,19,65
Driver 2,PS,2000,Action,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,T,11,43
Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,T,20,55
